Pclass,Sex,PassengerId,Survived,Name,Age,Fare
3,male,104,0,"Johansson, Mr. Gustaf Joel",33.0,8.6542
3,male,105,0,"Gustafsson, Mr. Anders Vilhelm",37.0,7.925
3,male,106,0,"Mionoff, Mr. Stoytcho",28.0,7.8958
3,female,107,1,"Salkjelsvik, Miss. Anna Kristine",21.0,7.65
3,male,108,1,"Moss, Mr. Albert Johan",,7.775
3,male,109,0,"Rekic, Mr. Tido",38.0,7.8958
3,female,110,1,"Moran, Miss. Bertha",,24.15
1,male,111,0,"Porter, Mr. Walter Chamberlain",47.0,52.0
3,female,112,0,"Zabour, Miss. Hileni",14.5,14.4542
3,male,113,0,"Barton, Mr. David John",22.0,8.05
3,female,114,0,"Jussila, Miss. Katriina",20.0,9.825
3,female,115,0,"Attalah, Miss. Malake",17.0,14.4583
3,male,116,0,"Pekoniemi, Mr. Edvard",21.0,7.925
3,male,117,0,"Connors, Mr. Patrick",70.5,7.75
2,male,118,0,"Turpin, Mr. William John Robert",29.0,21.0
1,male,119,0,"Baxter, Mr. Quigg Edmond",24.0,247.5208
3,female,120,0,"Andersson, Miss. Ellis Anna Maria",2.0,31.275
2,male,121,0,"Hickman, Mr. Stanley George",21.0,73.5
3,male,122,0,"Moore, Mr. Leonard Charles",,8.05
2,male,123,0,"Nasser, Mr. Nicholas",32.5,30.0708
2,female,124,1,"Webber, Miss. Susan",32.5,13.0
1,male,125,0,"White, Mr. Percival Wayland",54.0,77.2875
3,male,126,1,"Nicola-Yarred, Master. Elias",12.0,11.2417
3,male,127,0,"McMahon, Mr. Martin",,7.75
3,male,128,1,"Madsen, Mr. Fridtjof Arne",24.0,7.1417
3,female,129,1,"Peter, Miss. Anna",,22.3583
3,male,130,0,"Ekstrom, Mr. Johan",45.0,6.975
3,male,131,0,"Drazenoic, Mr. Jozef",33.0,7.8958
3,male,132,0,"Coelho, Mr. Domingos Fernandeo",20.0,7.05
3,female,133,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",47.0,14.5
2,female,134,1,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",29.0,26.0
2,male,135,0,"Sobey, Mr. Samuel James Hayden",25.0,13.0
2,male,136,0,"Richard, Mr. Emile",23.0,15.0458
1,female,137,1,"Newsom, Miss. Helen Monypeny",19.0,26.2833
1,male,138,0,"Futrelle, Mr. Jacques Heath",37.0,53.1
3,male,139,0,"Osen, Mr. Olaf Elon",16.0,9.2167
1,male,140,0,"Giglio, Mr. Victor",24.0,79.2
3,female,141,0,"Boulos, Mrs. Joseph (Sultana)",,15.2458
3,female,142,1,"Nysten, Miss. Anna Sofia",22.0,7.75
3,female,143,1,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",24.0,15.85
3,male,144,0,"Burke, Mr. Jeremiah",19.0,6.75
2,male,145,0,"Andrew, Mr. Edgardo Samuel",18.0,11.5
2,male,146,0,"Nicholls, Mr. Joseph Charles",19.0,36.75
3,male,147,1,"Andersson, Mr. August Edvard (""Wennerstrom"")",27.0,7.7958
3,female,148,0,"Ford, Miss. Robina Maggie ""Ruby""",9.0,34.375
2,male,149,0,"Navratil, Mr. Michel (""Louis M Hoffman"")",36.5,26.0
2,male,150,0,"Byles, Rev. Thomas Roussel Davids",42.0,13.0
2,male,151,0,"Bateman, Rev. Robert James",51.0,12.525
1,female,152,1,"Pears, Mrs. Thomas (Edith Wearne)",22.0,66.6
3,male,153,0,"Meo, Mr. Alfonzo",55.5,8.05
3,male,154,0,"van Billiard, Mr. Austin Blyler",40.5,14.5
3,male,155,0,"Olsen, Mr. Ole Martin",,7.3125
1,male,156,0,"Williams, Mr. Charles Duane",51.0,61.3792
3,female,157,1,"Gilnagh, Miss. Katherine ""Katie""",16.0,7.7333
3,male,158,0,"Corn, Mr. Harry",30.0,8.05
3,male,159,0,"Smiljanic, Mr. Mile",,8.6625
3,male,160,0,"Sage, Master. Thomas Henry",,69.55
3,male,161,0,"Cribb, Mr. John Hatfield",44.0,16.1
2,female,162,1,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",40.0,15.75
3,male,163,0,"Bengtsson, Mr. John Viktor",26.0,7.775
3,male,164,0,"Calic, Mr. Jovo",17.0,8.6625
3,male,165,0,"Panula, Master. Eino Viljami",1.0,39.6875
3,male,166,1,"Goldsmith, Master. Frank John William ""Frankie""",9.0,20.525
1,female,167,1,"Chibnall, Mrs. (Edith Martha Bowerman)",,55.0
3,female,168,0,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",45.0,27.9
1,male,169,0,"Baumann, Mr. John D",,25.925
3,male,170,0,"Ling, Mr. Lee",28.0,56.4958
1,male,171,0,"Van der hoef, Mr. Wyckoff",61.0,33.5
3,male,172,0,"Rice, Master. Arthur",4.0,29.125
3,female,173,1,"Johnson, Miss. Eleanor Ileen",1.0,11.1333
3,male,174,0,"Sivola, Mr. Antti Wilhelm",21.0,7.925
1,male,175,0,"Smith, Mr. James Clinch",56.0,30.6958
3,male,176,0,"Klasen, Mr. Klas Albin",18.0,7.8542
3,male,177,0,"Lefebre, Master. Henry Forbes",,25.4667
1,female,178,0,"Isham, Miss. Ann Elizabeth",50.0,28.7125
2,male,179,0,"Hale, Mr. Reginald",30.0,13.0
3,male,180,0,"Leonard, Mr. Lionel",36.0,0.0
3,female,181,0,"Sage, Miss. Constance Gladys",,69.55
2,male,182,0,"Pernot, Mr. Rene",,15.05
3,male,183,0,"Asplund, Master. Clarence Gustaf Hugo",9.0,31.3875
2,male,184,1,"Becker, Master. Richard F",1.0,39.0
3,female,185,1,"Kink-Heilmann, Miss. Luise Gretchen",4.0,22.025
1,male,186,0,"Rood, Mr. Hugh Roscoe",,50.0
3,female,187,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",,15.5
1,male,188,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",45.0,26.55
3,male,189,0,"Bourke, Mr. John",40.0,15.5
3,male,190,0,"Turcin, Mr. Stjepan",36.0,7.8958
2,female,191,1,"Pinsky, Mrs. (Rosa)",32.0,13.0
2,male,192,0,"Carbines, Mr. William",19.0,13.0
3,female,193,1,"Andersen-Jensen, Miss. Carla Christine Nielsine",19.0,7.8542
2,male,194,1,"Navratil, Master. Michel M",3.0,26.0
1,female,195,1,"Brown, Mrs. James Joseph (Margaret Tobin)",44.0,27.7208
1,female,196,1,"Lurette, Miss. Elise",58.0,146.5208
3,male,197,0,"Mernagh, Mr. Robert",,7.75
3,male,198,0,"Olsen, Mr. Karl Siegwart Andreas",42.0,8.4042
3,female,199,1,"Madigan, Miss. Margaret ""Maggie""",,7.75
2,female,200,0,"Yrois, Miss. Henriette (""Mrs Harbeck"")",24.0,13.0
3,male,201,0,"Vande Walle, Mr. Nestor Cyriel",28.0,9.5
3,male,202,0,"Sage, Mr. Frederick",,69.55
3,male,203,0,"Johanson, Mr. Jakob Alfred",34.0,6.4958
3,male,204,0,"Youseff, Mr. Gerious",45.5,7.225
3,male,205,1,"Cohen, Mr. Gurshon ""Gus""",18.0,8.05
3,female,206,0,"Strom, Miss. Telma Matilda",2.0,10.4625
3,male,207,0,"Backstrom, Mr. Karl Alfred",32.0,15.85
3,male,208,1,"Albimona, Mr. Nassef Cassem",26.0,18.7875
3,female,209,1,"Carr, Miss. Helen ""Ellen""",16.0,7.75
1,male,210,1,"Blank, Mr. Henry",40.0,31.0
3,male,211,0,"Ali, Mr. Ahmed",24.0,7.05
2,female,212,1,"Cameron, Miss. Clear Annie",35.0,21.0
3,male,213,0,"Perkin, Mr. John Henry",22.0,7.25
2,male,214,0,"Givard, Mr. Hans Kristensen",30.0,13.0
3,male,215,0,"Kiernan, Mr. Philip",,7.75
1,female,216,1,"Newell, Miss. Madeleine",31.0,113.275
3,female,217,1,"Honkanen, Miss. Eliina",27.0,7.925
2,male,218,0,"Jacobsohn, Mr. Sidney Samuel",42.0,27.0
1,female,219,1,"Bazzani, Miss. Albina",32.0,76.2917
2,male,220,0,"Harris, Mr. Walter",30.0,10.5
3,male,221,1,"Sunderland, Mr. Victor Francis",16.0,8.05
2,male,222,0,"Bracken, Mr. James H",27.0,13.0
3,male,223,0,"Green, Mr. George Henry",51.0,8.05
3,male,224,0,"Nenkoff, Mr. Christo",,7.8958
1,male,225,1,"Hoyt, Mr. Frederick Maxfield",38.0,90.0
3,male,226,0,"Berglund, Mr. Karl Ivar Sven",22.0,9.35
2,male,227,1,"Mellors, Mr. William John",19.0,10.5
3,male,228,0,"Lovell, Mr. John Hall (""Henry"")",20.5,7.25
2,male,229,0,"Fahlstrom, Mr. Arne Jonas",18.0,13.0
3,female,230,0,"Lefebre, Miss. Mathilde",,25.4667
1,female,231,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",35.0,83.475
3,male,232,0,"Larsson, Mr. Bengt Edvin",29.0,7.775
2,male,233,0,"Sjostedt, Mr. Ernst Adolf",59.0,13.5
3,female,234,1,"Asplund, Miss. Lillian Gertrud",5.0,31.3875
2,male,235,0,"Leyson, Mr. Robert William Norman",24.0,10.5
3,female,236,0,"Harknett, Miss. Alice Phoebe",,7.55
2,male,237,0,"Hold, Mr. Stephen",44.0,26.0
2,female,238,1,"Collyer, Miss. Marjorie ""Lottie""",8.0,26.25
2,male,239,0,"Pengelly, Mr. Frederick William",19.0,10.5
2,male,240,0,"Hunt, Mr. George Henry",33.0,12.275
3,female,241,0,"Zabour, Miss. Thamine",,14.4542
3,female,242,1,"Murphy, Miss. Katherine ""Kate""",,15.5
2,male,243,0,"Coleridge, Mr. Reginald Charles",29.0,10.5
3,male,244,0,"Maenpaa, Mr. Matti Alexanteri",22.0,7.125
3,male,245,0,"Attalah, Mr. Sleiman",30.0,7.225
1,male,246,0,"Minahan, Dr. William Edward",44.0,90.0
3,female,247,0,"Lindahl, Miss. Agda Thorilda Viktoria",25.0,7.775
2,female,248,1,"Hamalainen, Mrs. William (Anna)",24.0,14.5
1,male,249,1,"Beckwith, Mr. Richard Leonard",37.0,52.5542
2,male,250,0,"Carter, Rev. Ernest Courtenay",54.0,26.0
3,male,251,0,"Reed, Mr. James George",,7.25
3,female,252,0,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",29.0,10.4625
1,male,253,0,"Stead, Mr. William Thomas",62.0,26.55
3,male,254,0,"Lobb, Mr. William Arthur",30.0,16.1
3,female,255,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",41.0,20.2125
3,female,256,1,"Touma, Mrs. Darwis (Hanne Youssef Razi)",29.0,15.2458
1,female,257,1,"Thorne, Mrs. Gertrude Maybelle",,79.2
1,female,258,1,"Cherry, Miss. Gladys",30.0,86.5
1,female,259,1,"Ward, Miss. Anna",35.0,512.3292
2,female,260,1,"Parrish, Mrs. (Lutie Davis)",50.0,26.0
3,male,261,0,"Smith, Mr. Thomas",,7.75
3,male,262,1,"Asplund, Master. Edvin Rojj Felix",3.0,31.3875
1,male,263,0,"Taussig, Mr. Emil",52.0,79.65
1,male,264,0,"Harrison, Mr. William",40.0,0.0
3,female,265,0,"Henry, Miss. Delia",,7.75
2,male,266,0,"Reeves, Mr. David",36.0,10.5
3,male,267,0,"Panula, Mr. Ernesti Arvid",16.0,39.6875
3,male,268,1,"Persson, Mr. Ernst Ulrik",25.0,7.775
1,female,269,1,"Graham, Mrs. William Thompson (Edith Junkins)",58.0,153.4625
1,female,270,1,"Bissette, Miss. Amelia",35.0,135.6333
1,male,271,0,"Cairns, Mr. Alexander",,31.0
3,male,272,1,"Tornquist, Mr. William Henry",25.0,0.0
2,female,273,1,"Mellinger, Mrs. (Elizabeth Anne Maidment)",41.0,19.5
1,male,274,0,"Natsch, Mr. Charles H",37.0,29.7
3,female,275,1,"Healy, Miss. Hanora ""Nora""",,7.75
1,female,276,1,"Andrews, Miss. Kornelia Theodosia",63.0,77.9583
3,female,277,0,"Lindblom, Miss. Augusta Charlotta",45.0,7.75
2,male,278,0,"Parkes, Mr. Francis ""Frank""",,0.0
3,male,279,0,"Rice, Master. Eric",7.0,29.125
3,female,280,1,"Abbott, Mrs. Stanton (Rosa Hunt)",35.0,20.25
3,male,281,0,"Duane, Mr. Frank",65.0,7.75
3,male,282,0,"Olsson, Mr. Nils Johan Goransson",28.0,7.8542
3,male,283,0,"de Pelsmaeker, Mr. Alfons",16.0,9.5
3,male,284,1,"Dorking, Mr. Edward Arthur",19.0,8.05
1,male,285,0,"Smith, Mr. Richard William",,26.0
3,male,286,0,"Stankovic, Mr. Ivan",33.0,8.6625
3,male,287,1,"de Mulder, Mr. Theodore",30.0,9.5
3,male,288,0,"Naidenoff, Mr. Penko",22.0,7.8958
2,male,289,1,"Hosono, Mr. Masabumi",42.0,13.0
3,female,290,1,"Connolly, Miss. Kate",22.0,7.75
1,female,291,1,"Barber, Miss. Ellen ""Nellie""",26.0,78.85
1,female,292,1,"Bishop, Mrs. Dickinson H (Helen Walton)",19.0,91.0792
2,male,293,0,"Levy, Mr. Rene Jacques",36.0,12.875
3,female,294,0,"Haas, Miss. Aloisia",24.0,8.85
3,male,295,0,"Mineff, Mr. Ivan",24.0,7.8958
1,male,296,0,"Lewy, Mr. Ervin G",,27.7208
3,male,297,0,"Hanna, Mr. Mansour",23.5,7.2292
1,female,298,0,"Allison, Miss. Helen Loraine",2.0,151.55
1,male,299,1,"Saalfeld, Mr. Adolphe",,30.5
1,female,300,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",50.0,247.5208
3,female,301,1,"Kelly, Miss. Anna Katherine ""Annie Kate""",,7.75
3,male,302,1,"McCoy, Mr. Bernard",,23.25
3,male,303,0,"Johnson, Mr. William Cahoone Jr",19.0,0.0
2,female,304,1,"Keane, Miss. Nora A",,12.35
3,male,305,0,"Williams, Mr. Howard Hugh ""Harry""",,8.05
1,male,306,1,"Allison, Master. Hudson Trevor",0.92,151.55
1,female,307,1,"Fleming, Miss. Margaret",,110.8833
1,female,308,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",17.0,108.9
2,male,309,0,"Abelson, Mr. Samuel",30.0,24.0
1,female,310,1,"Francatelli, Miss. Laura Mabel",30.0,56.9292
1,female,311,1,"Hays, Miss. Margaret Bechstein",24.0,83.1583
1,female,312,1,"Ryerson, Miss. Emily Borie",18.0,262.375
2,female,313,0,"Lahtinen, Mrs. William (Anna Sylfven)",26.0,26.0
3,male,314,0,"Hendekovic, Mr. Ignjac",28.0,7.8958
2,male,315,0,"Hart, Mr. Benjamin",43.0,26.25
3,female,316,1,"Nilsson, Miss. Helmina Josefina",26.0,7.8542
2,female,317,1,"Kantor, Mrs. Sinai (Miriam Sternin)",24.0,26.0
2,male,318,0,"Moraweck, Dr. Ernest",54.0,14.0
1,female,319,1,"Wick, Miss. Mary Natalie",31.0,164.8667
1,female,320,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",40.0,134.5
3,male,321,0,"Dennis, Mr. Samuel",22.0,7.25
3,male,322,0,"Danoff, Mr. Yoto",27.0,7.8958
2,female,323,1,"Slayter, Miss. Hilda Mary",30.0,12.35
2,female,324,1,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",22.0,29.0
3,male,325,0,"Sage, Mr. George John Jr",,69.55
1,female,326,1,"Young, Miss. Marie Grice",36.0,135.6333
3,male,327,0,"Nysveen, Mr. Johan Hansen",61.0,6.2375
2,female,328,1,"Ball, Mrs. (Ada E Hall)",36.0,13.0
3,female,329,1,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",31.0,20.525
1,female,330,1,"Hippach, Miss. Jean Gertrude",16.0,57.9792
3,female,331,1,"McCoy, Miss. Agnes",,23.25
1,male,332,0,"Partner, Mr. Austen",45.5,28.5
1,male,333,0,"Graham, Mr. George Edward",38.0,153.4625
3,male,334,0,"Vander Planke, Mr. Leo Edmondus",16.0,18.0
1,female,335,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",,133.65
3,male,336,0,"Denkoff, Mr. Mitto",,7.8958
1,male,337,0,"Pears, Mr. Thomas Clinton",29.0,66.6
1,female,338,1,"Burns, Miss. Elizabeth Margaret",41.0,134.5
3,male,339,1,"Dahl, Mr. Karl Edwart",45.0,8.05
1,male,340,0,"Blackwell, Mr. Stephen Weart",45.0,35.5
2,male,341,1,"Navratil, Master. Edmond Roger",2.0,26.0
1,female,342,1,"Fortune, Miss. Alice Elizabeth",24.0,263.0
2,male,343,0,"Collander, Mr. Erik Gustaf",28.0,13.0
2,male,344,0,"Sedgwick, Mr. Charles Frederick Waddington",25.0,13.0
2,male,345,0,"Fox, Mr. Stanley Hubert",36.0,13.0
2,female,346,1,"Brown, Miss. Amelia ""Mildred""",24.0,13.0
2,female,347,1,"Smith, Miss. Marion Elsie",40.0,13.0
3,female,348,1,"Davison, Mrs. Thomas Henry (Mary E Finck)",,16.1
3,male,349,1,"Coutts, Master. William Loch ""William""",3.0,15.9
3,male,350,0,"Dimic, Mr. Jovan",42.0,8.6625
3,male,351,0,"Odahl, Mr. Nils Martin",23.0,9.225
1,male,352,0,"Williams-Lambert, Mr. Fletcher Fellows",,35.0
3,male,353,0,"Elias, Mr. Tannous",15.0,7.2292
3,male,354,0,"Arnold-Franchi, Mr. Josef",25.0,17.8
3,male,355,0,"Yousif, Mr. Wazli",,7.225
3,male,356,0,"Vanden Steen, Mr. Leo Peter",28.0,9.5
1,female,357,1,"Bowerman, Miss. Elsie Edith",22.0,55.0
2,female,358,0,"Funk, Miss. Annie Clemmer",38.0,13.0
3,female,359,1,"McGovern, Miss. Mary",,7.8792
3,female,360,1,"Mockler, Miss. Helen Mary ""Ellie""",,7.8792
3,male,361,0,"Skoog, Mr. Wilhelm",40.0,27.9
2,male,362,0,"del Carlo, Mr. Sebastiano",29.0,27.7208
3,female,363,0,"Barbara, Mrs. (Catherine David)",45.0,14.4542
3,male,364,0,"Asim, Mr. Adola",35.0,7.05
3,male,365,0,"O'Brien, Mr. Thomas",,15.5
3,male,366,0,"Adahl, Mr. Mauritz Nils Martin",30.0,7.25
1,female,367,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",60.0,75.25
3,female,368,1,"Moussa, Mrs. (Mantoura Boulos)",,7.2292
3,female,369,1,"Jermyn, Miss. Annie",,7.75
1,female,370,1,"Aubart, Mme. Leontine Pauline",24.0,69.3
1,male,371,1,"Harder, Mr. George Achilles",25.0,55.4417
3,male,372,0,"Wiklund, Mr. Jakob Alfred",18.0,6.4958
3,male,373,0,"Beavan, Mr. William Thomas",19.0,8.05
1,male,374,0,"Ringhini, Mr. Sante",22.0,135.6333
3,female,375,0,"Palsson, Miss. Stina Viola",3.0,21.075
1,female,376,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",,82.1708
3,female,377,1,"Landergren, Miss. Aurora Adelia",22.0,7.25
1,male,378,0,"Widener, Mr. Harry Elkins",27.0,211.5
3,male,379,0,"Betros, Mr. Tannous",20.0,4.0125
3,male,380,0,"Gustafsson, Mr. Karl Gideon",19.0,7.775
1,female,381,1,"Bidois, Miss. Rosalie",42.0,227.525
3,female,382,1,"Nakid, Miss. Maria (""Mary"")",1.0,15.7417
3,male,383,0,"Tikkanen, Mr. Juho",32.0,7.925
1,female,384,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",35.0,52.0
3,male,385,0,"Plotcharsky, Mr. Vasil",,7.8958
2,male,386,0,"Davies, Mr. Charles Henry",18.0,73.5
3,male,387,0,"Goodwin, Master. Sidney Leonard",1.0,46.9
2,female,388,1,"Buss, Miss. Kate",36.0,13.0
3,male,389,0,"Sadlier, Mr. Matthew",,7.7292
2,female,390,1,"Lehmann, Miss. Bertha",17.0,12.0
1,male,391,1,"Carter, Mr. William Ernest",36.0,120.0
3,male,392,1,"Jansson, Mr. Carl Olof",21.0,7.7958
3,male,393,0,"Gustafsson, Mr. Johan Birger",28.0,7.925
1,female,394,1,"Newell, Miss. Marjorie",23.0,113.275
3,female,395,1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",24.0,16.7
3,male,396,0,"Johansson, Mr. Erik",22.0,7.7958
3,female,397,0,"Olsson, Miss. Elina",31.0,7.8542
2,male,398,0,"McKane, Mr. Peter David",46.0,26.0
2,male,399,0,"Pain, Dr. Alfred",23.0,10.5
2,female,400,1,"Trout, Mrs. William H (Jessie L)",28.0,12.65
3,male,401,1,"Niskanen, Mr. Juha",39.0,7.925
3,male,402,0,"Adams, Mr. John",26.0,8.05
3,female,403,0,"Jussila, Miss. Mari Aina",21.0,9.825
