PassengerId,Survived,Pclass,Name,Sex,Age,Fare
45,1,3,"Devaney, Miss. Margaret Delia",female,19.00,7.88
46,0,3,"Rogers, Mr. William John",male,MISSING,8.05
47,0,3,"Lennon, Mr. Denis",male,MISSING,15.50
48,1,3,"O'Driscoll, Miss. Bridget",female,MISSING,7.75
49,0,3,"Samaan, Mr. Youssef",male,MISSING,21.68
50,0,3,"Arnold-Franchi, Mrs. Josef (Josefine Franchi)",female,18.00,17.80
51,0,3,"Panula, Master. Juha Niilo",male,7.00,39.69
52,0,3,"Nosworthy, Mr. Richard Cater",male,21.00,7.80
53,1,1,"Harper, Mrs. Henry Sleeper (Myna Haxtun)",female,49.00,76.73
54,1,2,"Faunthorpe, Mrs. Lizzie (Elizabeth Anne Wilkinson)",female,29.00,26.00
55,0,1,"Ostby, Mr. Engelhart Cornelius",male,65.00,61.98
56,1,1,"Woolner, Mr. Hugh",male,MISSING,35.50
57,1,2,"Rugg, Miss. Emily",female,21.00,10.50
58,0,3,"Novel, Mr. Mansouer",male,28.50,7.23
59,1,2,"West, Miss. Constance Mirium",female,5.00,27.75
60,0,3,"Goodwin, Master. William Frederick",male,11.00,46.90
61,0,3,"Sirayanian, Mr. Orsen",male,22.00,7.23
62,1,1,"Icard, Miss. Amelie",female,38.00,80.00
63,0,1,"Harris, Mr. Henry Birkhardt",male,45.00,83.47
64,0,3,"Skoog, Master. Harald",male,4.00,27.90
65,0,1,"Stewart, Mr. Albert A",male,MISSING,27.72
66,1,3,"Moubarek, Master. Gerios",male,MISSING,15.25
67,1,2,"Nye, Mrs. (Elizabeth Ramell)",female,29.00,10.50
68,0,3,"Crease, Mr. Ernest James",male,19.00,8.16
69,1,3,"Andersson, Miss. Erna Alexandra",female,17.00,7.92
70,0,3,"Kink, Mr. Vincenz",male,26.00,8.66
71,0,2,"Jenkin, Mr. Stephen Curnow",male,32.00,10.50
72,0,3,"Goodwin, Miss. Lillian Amy",female,16.00,46.90
73,0,2,"Hood, Mr. Ambrose Jr",male,21.00,73.50
74,0,3,"Chronopoulos, Mr. Apostolos",male,26.00,14.45
75,1,3,"Bing, Mr. Lee",male,32.00,56.50
76,0,3,"Moen, Mr. Sigurd Hansen",male,25.00,7.65
77,0,3,"Staneff, Mr. Ivan",male,MISSING,7.90
78,0,3,"Moutal, Mr. Rahamin Haim",male,MISSING,8.05
79,1,2,"Caldwell, Master. Alden Gates",male,0.83,29.00
80,1,3,"Dowdell, Miss. Elizabeth",female,30.00,12.47
81,0,3,"Waelens, Mr. Achille",male,22.00,9.00
82,1,3,"Sheerlinck, Mr. Jan Baptist",male,29.00,9.50
83,1,3,"McDermott, Miss. Brigdet Delia",female,MISSING,7.79
84,0,1,"Carrau, Mr. Francisco M",male,28.00,47.10
85,1,2,"Ilett, Miss. Bertha",female,17.00,10.50
86,1,3,"Backstrom, Mrs. Karl Alfred (Maria Mathilda Gustafsson)",female,33.00,15.85
87,0,3,"Ford, Mr. William Neal",male,16.00,34.38
88,0,3,"Slocovski, Mr. Selman Francis",male,MISSING,8.05
89,1,1,"Fortune, Miss. Mabel Helen",female,23.00,263.00
90,0,3,"Celotti, Mr. Francesco",male,24.00,8.05
91,0,3,"Christmann, Mr. Emil",male,29.00,8.05
92,0,3,"Andreasson, Mr. Paul Edvin",male,20.00,7.85
93,0,1,"Chaffee, Mr. Herbert Fuller",male,46.00,61.17
94,0,3,"Dean, Mr. Bertram Frank",male,26.00,20.57
95,0,3,"Coxon, Mr. Daniel",male,59.00,7.25
96,0,3,"Shorney, Mr. Charles Joseph",male,MISSING,8.05
97,0,1,"Goldschmidt, Mr. George B",male,71.00,34.65
98,1,1,"Greenfield, Mr. William Bertram",male,23.00,63.36
99,1,2,"Doling, Mrs. John T (Ada Julia Bone)",female,34.00,23.00
100,0,2,"Kantor, Mr. Sinai",male,34.00,26.00
101,0,3,"Petranec, Miss. Matilda",female,28.00,7.90
102,0,3,"Petroff, Mr. Pastcho (""Pentcho"")",male,MISSING,7.90
103,0,1,"White, Mr. Richard Frasar",male,21.00,77.29
104,0,3,"Johansson, Mr. Gustaf Joel",male,33.00,8.65
105,0,3,"Gustafsson, Mr. Anders Vilhelm",male,37.00,7.92
106,0,3,"Mionoff, Mr. Stoytcho",male,28.00,7.90
107,1,3,"Salkjelsvik, Miss. Anna Kristine",female,21.00,7.65
108,1,3,"Moss, Mr. Albert Johan",male,MISSING,7.78
109,0,3,"Rekic, Mr. Tido",male,38.00,7.90
110,1,3,"Moran, Miss. Bertha",female,MISSING,24.15
111,0,1,"Porter, Mr. Walter Chamberlain",male,47.00,52.00
112,0,3,"Zabour, Miss. Hileni",female,14.50,14.45
113,0,3,"Barton, Mr. David John",male,22.00,8.05
114,0,3,"Jussila, Miss. Katriina",female,20.00,9.82
115,0,3,"Attalah, Miss. Malake",female,17.00,14.46
116,0,3,"Pekoniemi, Mr. Edvard",male,21.00,7.92
117,0,3,"Connors, Mr. Patrick",male,70.50,7.75
118,0,2,"Turpin, Mr. William John Robert",male,29.00,21.00
119,0,1,"Baxter, Mr. Quigg Edmond",male,24.00,247.52
120,0,3,"Andersson, Miss. Ellis Anna Maria",female,2.00,31.27
121,0,2,"Hickman, Mr. Stanley George",male,21.00,73.50
122,0,3,"Moore, Mr. Leonard Charles",male,MISSING,8.05
123,0,2,"Nasser, Mr. Nicholas",male,32.50,30.07
124,1,2,"Webber, Miss. Susan",female,32.50,13.00
125,0,1,"White, Mr. Percival Wayland",male,54.00,77.29
126,1,3,"Nicola-Yarred, Master. Elias",male,12.00,11.24
127,0,3,"McMahon, Mr. Martin",male,MISSING,7.75
128,1,3,"Madsen, Mr. Fridtjof Arne",male,24.00,7.14
129,1,3,"Peter, Miss. Anna",female,MISSING,22.36
130,0,3,"Ekstrom, Mr. Johan",male,45.00,6.97
131,0,3,"Drazenoic, Mr. Jozef",male,33.00,7.90
132,0,3,"Coelho, Mr. Domingos Fernandeo",male,20.00,7.05
133,0,3,"Robins, Mrs. Alexander A (Grace Charity Laury)",female,47.00,14.50
134,1,2,"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",female,29.00,26.00
135,0,2,"Sobey, Mr. Samuel James Hayden",male,25.00,13.00
136,0,2,"Richard, Mr. Emile",male,23.00,15.05
137,1,1,"Newsom, Miss. Helen Monypeny",female,19.00,26.28
138,0,1,"Futrelle, Mr. Jacques Heath",male,37.00,53.10
139,0,3,"Osen, Mr. Olaf Elon",male,16.00,9.22
140,0,1,"Giglio, Mr. Victor",male,24.00,79.20
141,0,3,"Boulos, Mrs. Joseph (Sultana)",female,MISSING,15.25
142,1,3,"Nysten, Miss. Anna Sofia",female,22.00,7.75
143,1,3,"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",female,24.00,15.85
144,0,3,"Burke, Mr. Jeremiah",male,19.00,6.75
145,0,2,"Andrew, Mr. Edgardo Samuel",male,18.00,11.50
146,0,2,"Nicholls, Mr. Joseph Charles",male,19.00,36.75
147,1,3,"Andersson, Mr. August Edvard (""Wennerstrom"")",male,27.00,7.80
148,0,3,"Ford, Miss. Robina Maggie ""Ruby""",female,9.00,34.38
149,0,2,"Navratil, Mr. Michel (""Louis M Hoffman"")",male,36.50,26.00
150,0,2,"Byles, Rev. Thomas Roussel Davids",male,42.00,13.00
151,0,2,"Bateman, Rev. Robert James",male,51.00,12.53
152,1,1,"Pears, Mrs. Thomas (Edith Wearne)",female,22.00,66.60
153,0,3,"Meo, Mr. Alfonzo",male,55.50,8.05
154,0,3,"van Billiard, Mr. Austin Blyler",male,40.50,14.50
155,0,3,"Olsen, Mr. Ole Martin",male,MISSING,7.31
156,0,1,"Williams, Mr. Charles Duane",male,51.00,61.38
157,1,3,"Gilnagh, Miss. Katherine ""Katie""",female,16.00,7.73
158,0,3,"Corn, Mr. Harry",male,30.00,8.05
159,0,3,"Smiljanic, Mr. Mile",male,MISSING,8.66
160,0,3,"Sage, Master. Thomas Henry",male,MISSING,69.55
161,0,3,"Cribb, Mr. John Hatfield",male,44.00,16.10
162,1,2,"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",female,40.00,15.75
163,0,3,"Bengtsson, Mr. John Viktor",male,26.00,7.78
164,0,3,"Calic, Mr. Jovo",male,17.00,8.66
165,0,3,"Panula, Master. Eino Viljami",male,1.00,39.69
166,1,3,"Goldsmith, Master. Frank John William ""Frankie""",male,9.00,20.52
167,1,1,"Chibnall, Mrs. (Edith Martha Bowerman)",female,MISSING,55.00
168,0,3,"Skoog, Mrs. William (Anna Bernhardina Karlsson)",female,45.00,27.90
169,0,1,"Baumann, Mr. John D",male,MISSING,25.93
170,0,3,"Ling, Mr. Lee",male,28.00,56.50
171,0,1,"Van der hoef, Mr. Wyckoff",male,61.00,33.50
172,0,3,"Rice, Master. Arthur",male,4.00,29.12
173,1,3,"Johnson, Miss. Eleanor Ileen",female,1.00,11.13
174,0,3,"Sivola, Mr. Antti Wilhelm",male,21.00,7.92
175,0,1,"Smith, Mr. James Clinch",male,56.00,30.70
176,0,3,"Klasen, Mr. Klas Albin",male,18.00,7.85
177,0,3,"Lefebre, Master. Henry Forbes",male,MISSING,25.47
178,0,1,"Isham, Miss. Ann Elizabeth",female,50.00,28.71
179,0,2,"Hale, Mr. Reginald",male,30.00,13.00
180,0,3,"Leonard, Mr. Lionel",male,36.00,0.00
181,0,3,"Sage, Miss. Constance Gladys",female,MISSING,69.55
182,0,2,"Pernot, Mr. Rene",male,MISSING,15.05
183,0,3,"Asplund, Master. Clarence Gustaf Hugo",male,9.00,31.39
184,1,2,"Becker, Master. Richard F",male,1.00,39.00
185,1,3,"Kink-Heilmann, Miss. Luise Gretchen",female,4.00,22.02
186,0,1,"Rood, Mr. Hugh Roscoe",male,MISSING,50.00
187,1,3,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",female,MISSING,15.50
188,1,1,"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",male,45.00,26.55
189,0,3,"Bourke, Mr. John",male,40.00,15.50
190,0,3,"Turcin, Mr. Stjepan",male,36.00,7.90
191,1,2,"Pinsky, Mrs. (Rosa)",female,32.00,13.00
192,0,2,"Carbines, Mr. William",male,19.00,13.00
193,1,3,"Andersen-Jensen, Miss. Carla Christine Nielsine",female,19.00,7.85
194,1,2,"Navratil, Master. Michel M",male,3.00,26.00
195,1,1,"Brown, Mrs. James Joseph (Margaret Tobin)",female,44.00,27.72
196,1,1,"Lurette, Miss. Elise",female,58.00,146.52
197,0,3,"Mernagh, Mr. Robert",male,MISSING,7.75
198,0,3,"Olsen, Mr. Karl Siegwart Andreas",male,42.00,8.40
199,1,3,"Madigan, Miss. Margaret ""Maggie""",female,MISSING,7.75
200,0,2,"Yrois, Miss. Henriette (""Mrs Harbeck"")",female,24.00,13.00
201,0,3,"Vande Walle, Mr. Nestor Cyriel",male,28.00,9.50
202,0,3,"Sage, Mr. Frederick",male,MISSING,69.55
203,0,3,"Johanson, Mr. Jakob Alfred",male,34.00,6.50
204,0,3,"Youseff, Mr. Gerious",male,45.50,7.22
205,1,3,"Cohen, Mr. Gurshon ""Gus""",male,18.00,8.05
206,0,3,"Strom, Miss. Telma Matilda",female,2.00,10.46
207,0,3,"Backstrom, Mr. Karl Alfred",male,32.00,15.85
208,1,3,"Albimona, Mr. Nassef Cassem",male,26.00,18.79
209,1,3,"Carr, Miss. Helen ""Ellen""",female,16.00,7.75
210,1,1,"Blank, Mr. Henry",male,40.00,31.00
211,0,3,"Ali, Mr. Ahmed",male,24.00,7.05
212,1,2,"Cameron, Miss. Clear Annie",female,35.00,21.00
213,0,3,"Perkin, Mr. John Henry",male,22.00,7.25
214,0,2,"Givard, Mr. Hans Kristensen",male,30.00,13.00
215,0,3,"Kiernan, Mr. Philip",male,MISSING,7.75
216,1,1,"Newell, Miss. Madeleine",female,31.00,113.28
217,1,3,"Honkanen, Miss. Eliina",female,27.00,7.92
218,0,2,"Jacobsohn, Mr. Sidney Samuel",male,42.00,27.00
219,1,1,"Bazzani, Miss. Albina",female,32.00,76.29
220,0,2,"Harris, Mr. Walter",male,30.00,10.50
221,1,3,"Sunderland, Mr. Victor Francis",male,16.00,8.05
222,0,2,"Bracken, Mr. James H",male,27.00,13.00
223,0,3,"Green, Mr. George Henry",male,51.00,8.05
224,0,3,"Nenkoff, Mr. Christo",male,MISSING,7.90
225,1,1,"Hoyt, Mr. Frederick Maxfield",male,38.00,90.00
226,0,3,"Berglund, Mr. Karl Ivar Sven",male,22.00,9.35
227,1,2,"Mellors, Mr. William John",male,19.00,10.50
228,0,3,"Lovell, Mr. John Hall (""Henry"")",male,20.50,7.25
229,0,2,"Fahlstrom, Mr. Arne Jonas",male,18.00,13.00
230,0,3,"Lefebre, Miss. Mathilde",female,MISSING,25.47
231,1,1,"Harris, Mrs. Henry Birkhardt (Irene Wallach)",female,35.00,83.47
232,0,3,"Larsson, Mr. Bengt Edvin",male,29.00,7.78
233,0,2,"Sjostedt, Mr. Ernst Adolf",male,59.00,13.50
234,1,3,"Asplund, Miss. Lillian Gertrud",female,5.00,31.39
235,0,2,"Leyson, Mr. Robert William Norman",male,24.00,10.50
236,0,3,"Harknett, Miss. Alice Phoebe",female,MISSING,7.55
237,0,2,"Hold, Mr. Stephen",male,44.00,26.00
238,1,2,"Collyer, Miss. Marjorie ""Lottie""",female,8.00,26.25
239,0,2,"Pengelly, Mr. Frederick William",male,19.00,10.50
240,0,2,"Hunt, Mr. George Henry",male,33.00,12.28
241,0,3,"Zabour, Miss. Thamine",female,MISSING,14.45
242,1,3,"Murphy, Miss. Katherine ""Kate""",female,MISSING,15.50
243,0,2,"Coleridge, Mr. Reginald Charles",male,29.00,10.50
244,0,3,"Maenpaa, Mr. Matti Alexanteri",male,22.00,7.12
245,0,3,"Attalah, Mr. Sleiman",male,30.00,7.22
246,0,1,"Minahan, Dr. William Edward",male,44.00,90.00
247,0,3,"Lindahl, Miss. Agda Thorilda Viktoria",female,25.00,7.78
248,1,2,"Hamalainen, Mrs. William (Anna)",female,24.00,14.50
249,1,1,"Beckwith, Mr. Richard Leonard",male,37.00,52.55
250,0,2,"Carter, Rev. Ernest Courtenay",male,54.00,26.00
251,0,3,"Reed, Mr. James George",male,MISSING,7.25
252,0,3,"Strom, Mrs. Wilhelm (Elna Matilda Persson)",female,29.00,10.46
253,0,1,"Stead, Mr. William Thomas",male,62.00,26.55
254,0,3,"Lobb, Mr. William Arthur",male,30.00,16.10
255,0,3,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",female,41.00,20.21
256,1,3,"Touma, Mrs. Darwis (Hanne Youssef Razi)",female,29.00,15.25
257,1,1,"Thorne, Mrs. Gertrude Maybelle",female,MISSING,79.20
258,1,1,"Cherry, Miss. Gladys",female,30.00,86.50
259,1,1,"Ward, Miss. Anna",female,35.00,512.33
260,1,2,"Parrish, Mrs. (Lutie Davis)",female,50.00,26.00
261,0,3,"Smith, Mr. Thomas",male,MISSING,7.75
262,1,3,"Asplund, Master. Edvin Rojj Felix",male,3.00,31.39
263,0,1,"Taussig, Mr. Emil",male,52.00,79.65
264,0,1,"Harrison, Mr. William",male,40.00,0.00
265,0,3,"Henry, Miss. Delia",female,MISSING,7.75
266,0,2,"Reeves, Mr. David",male,36.00,10.50
267,0,3,"Panula, Mr. Ernesti Arvid",male,16.00,39.69
268,1,3,"Persson, Mr. Ernst Ulrik",male,25.00,7.78
269,1,1,"Graham, Mrs. William Thompson (Edith Junkins)",female,58.00,153.46
270,1,1,"Bissette, Miss. Amelia",female,35.00,135.63
271,0,1,"Cairns, Mr. Alexander",male,MISSING,31.00
272,1,3,"Tornquist, Mr. William Henry",male,25.00,0.00
273,1,2,"Mellinger, Mrs. (Elizabeth Anne Maidment)",female,41.00,19.50
274,0,1,"Natsch, Mr. Charles H",male,37.00,29.70
275,1,3,"Healy, Miss. Hanora ""Nora""",female,MISSING,7.75
276,1,1,"Andrews, Miss. Kornelia Theodosia",female,63.00,77.96
277,0,3,"Lindblom, Miss. Augusta Charlotta",female,45.00,7.75
278,0,2,"Parkes, Mr. Francis ""Frank""",male,MISSING,0.00
279,0,3,"Rice, Master. Eric",male,7.00,29.12
280,1,3,"Abbott, Mrs. Stanton (Rosa Hunt)",female,35.00,20.25
281,0,3,"Duane, Mr. Frank",male,65.00,7.75
282,0,3,"Olsson, Mr. Nils Johan Goransson",male,28.00,7.85
283,0,3,"de Pelsmaeker, Mr. Alfons",male,16.00,9.50
284,1,3,"Dorking, Mr. Edward Arthur",male,19.00,8.05
285,0,1,"Smith, Mr. Richard William",male,MISSING,26.00
286,0,3,"Stankovic, Mr. Ivan",male,33.00,8.66
287,1,3,"de Mulder, Mr. Theodore",male,30.00,9.50
288,0,3,"Naidenoff, Mr. Penko",male,22.00,7.90
289,1,2,"Hosono, Mr. Masabumi",male,42.00,13.00
290,1,3,"Connolly, Miss. Kate",female,22.00,7.75
291,1,1,"Barber, Miss. Ellen ""Nellie""",female,26.00,78.85
292,1,1,"Bishop, Mrs. Dickinson H (Helen Walton)",female,19.00,91.08
293,0,2,"Levy, Mr. Rene Jacques",male,36.00,12.88
294,0,3,"Haas, Miss. Aloisia",female,24.00,8.85
295,0,3,"Mineff, Mr. Ivan",male,24.00,7.90
296,0,1,"Lewy, Mr. Ervin G",male,MISSING,27.72
297,0,3,"Hanna, Mr. Mansour",male,23.50,7.23
298,0,1,"Allison, Miss. Helen Loraine",female,2.00,151.55
299,1,1,"Saalfeld, Mr. Adolphe",male,MISSING,30.50
300,1,1,"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",female,50.00,247.52
301,1,3,"Kelly, Miss. Anna Katherine ""Annie Kate""",female,MISSING,7.75
302,1,3,"McCoy, Mr. Bernard",male,MISSING,23.25
303,0,3,"Johnson, Mr. William Cahoone Jr",male,19.00,0.00
304,1,2,"Keane, Miss. Nora A",female,MISSING,12.35
305,0,3,"Williams, Mr. Howard Hugh ""Harry""",male,MISSING,8.05
306,1,1,"Allison, Master. Hudson Trevor",male,0.92,151.55
307,1,1,"Fleming, Miss. Margaret",female,MISSING,110.88
308,1,1,"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",female,17.00,108.90
309,0,2,"Abelson, Mr. Samuel",male,30.00,24.00
310,1,1,"Francatelli, Miss. Laura Mabel",female,30.00,56.93
311,1,1,"Hays, Miss. Margaret Bechstein",female,24.00,83.16
312,1,1,"Ryerson, Miss. Emily Borie",female,18.00,262.38
313,0,2,"Lahtinen, Mrs. William (Anna Sylfven)",female,26.00,26.00
314,0,3,"Hendekovic, Mr. Ignjac",male,28.00,7.90
315,0,2,"Hart, Mr. Benjamin",male,43.00,26.25
316,1,3,"Nilsson, Miss. Helmina Josefina",female,26.00,7.85
317,1,2,"Kantor, Mrs. Sinai (Miriam Sternin)",female,24.00,26.00
318,0,2,"Moraweck, Dr. Ernest",male,54.00,14.00
319,1,1,"Wick, Miss. Mary Natalie",female,31.00,164.87
320,1,1,"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",female,40.00,134.50
321,0,3,"Dennis, Mr. Samuel",male,22.00,7.25
322,0,3,"Danoff, Mr. Yoto",male,27.00,7.90
323,1,2,"Slayter, Miss. Hilda Mary",female,30.00,12.35
324,1,2,"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",female,22.00,29.00
325,0,3,"Sage, Mr. George John Jr",male,MISSING,69.55
326,1,1,"Young, Miss. Marie Grice",female,36.00,135.63
327,0,3,"Nysveen, Mr. Johan Hansen",male,61.00,6.24
328,1,2,"Ball, Mrs. (Ada E Hall)",female,36.00,13.00
329,1,3,"Goldsmith, Mrs. Frank John (Emily Alice Brown)",female,31.00,20.52
330,1,1,"Hippach, Miss. Jean Gertrude",female,16.00,57.98
331,1,3,"McCoy, Miss. Agnes",female,MISSING,23.25
332,0,1,"Partner, Mr. Austen",male,45.50,28.50
333,0,1,"Graham, Mr. George Edward",male,38.00,153.46
334,0,3,"Vander Planke, Mr. Leo Edmondus",male,16.00,18.00
335,1,1,"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",female,MISSING,133.65
336,0,3,"Denkoff, Mr. Mitto",male,MISSING,7.90
337,0,1,"Pears, Mr. Thomas Clinton",male,29.00,66.60
338,1,1,"Burns, Miss. Elizabeth Margaret",female,41.00,134.50
339,1,3,"Dahl, Mr. Karl Edwart",male,45.00,8.05
340,0,1,"Blackwell, Mr. Stephen Weart",male,45.00,35.50
341,1,2,"Navratil, Master. Edmond Roger",male,2.00,26.00
342,1,1,"Fortune, Miss. Alice Elizabeth",female,24.00,263.00
343,0,2,"Collander, Mr. Erik Gustaf",male,28.00,13.00
344,0,2,"Sedgwick, Mr. Charles Frederick Waddington",male,25.00,13.00
345,0,2,"Fox, Mr. Stanley Hubert",male,36.00,13.00
346,1,2,"Brown, Miss. Amelia ""Mildred""",female,24.00,13.00
347,1,2,"Smith, Miss. Marion Elsie",female,40.00,13.00
348,1,3,"Davison, Mrs. Thomas Henry (Mary E Finck)",female,MISSING,16.10
349,1,3,"Coutts, Master. William Loch ""William""",male,3.00,15.90
350,0,3,"Dimic, Mr. Jovan",male,42.00,8.66
351,0,3,"Odahl, Mr. Nils Martin",male,23.00,9.22
352,0,1,"Williams-Lambert, Mr. Fletcher Fellows",male,MISSING,35.00
353,0,3,"Elias, Mr. Tannous",male,15.00,7.23
354,0,3,"Arnold-Franchi, Mr. Josef",male,25.00,17.80
355,0,3,"Yousif, Mr. Wazli",male,MISSING,7.22
356,0,3,"Vanden Steen, Mr. Leo Peter",male,28.00,9.50
357,1,1,"Bowerman, Miss. Elsie Edith",female,22.00,55.00
358,0,2,"Funk, Miss. Annie Clemmer",female,38.00,13.00
359,1,3,"McGovern, Miss. Mary",female,MISSING,7.88
360,1,3,"Mockler, Miss. Helen Mary ""Ellie""",female,MISSING,7.88
361,0,3,"Skoog, Mr. Wilhelm",male,40.00,27.90
362,0,2,"del Carlo, Mr. Sebastiano",male,29.00,27.72
363,0,3,"Barbara, Mrs. (Catherine David)",female,45.00,14.45
364,0,3,"Asim, Mr. Adola",male,35.00,7.05
365,0,3,"O'Brien, Mr. Thomas",male,MISSING,15.50
366,0,3,"Adahl, Mr. Mauritz Nils Martin",male,30.00,7.25
367,1,1,"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",female,60.00,75.25
368,1,3,"Moussa, Mrs. (Mantoura Boulos)",female,MISSING,7.23
369,1,3,"Jermyn, Miss. Annie",female,MISSING,7.75
370,1,1,"Aubart, Mme. Leontine Pauline",female,24.00,69.30
371,1,1,"Harder, Mr. George Achilles",male,25.00,55.44
372,0,3,"Wiklund, Mr. Jakob Alfred",male,18.00,6.50
373,0,3,"Beavan, Mr. William Thomas",male,19.00,8.05
374,0,1,"Ringhini, Mr. Sante",male,22.00,135.63
375,0,3,"Palsson, Miss. Stina Viola",female,3.00,21.07
376,1,1,"Meyer, Mrs. Edgar Joseph (Leila Saks)",female,MISSING,82.17
377,1,3,"Landergren, Miss. Aurora Adelia",female,22.00,7.25
378,0,1,"Widener, Mr. Harry Elkins",male,27.00,211.50
379,0,3,"Betros, Mr. Tannous",male,20.00,4.01
380,0,3,"Gustafsson, Mr. Karl Gideon",male,19.00,7.78
381,1,1,"Bidois, Miss. Rosalie",female,42.00,227.53
382,1,3,"Nakid, Miss. Maria (""Mary"")",female,1.00,15.74
383,0,3,"Tikkanen, Mr. Juho",male,32.00,7.92
384,1,1,"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",female,35.00,52.00
385,0,3,"Plotcharsky, Mr. Vasil",male,MISSING,7.90
386,0,2,"Davies, Mr. Charles Henry",male,18.00,73.50
387,0,3,"Goodwin, Master. Sidney Leonard",male,1.00,46.90
388,1,2,"Buss, Miss. Kate",female,36.00,13.00
389,0,3,"Sadlier, Mr. Matthew",male,MISSING,7.73
390,1,2,"Lehmann, Miss. Bertha",female,17.00,12.00
391,1,1,"Carter, Mr. William Ernest",male,36.00,120.00
392,1,3,"Jansson, Mr. Carl Olof",male,21.00,7.80
393,0,3,"Gustafsson, Mr. Johan Birger",male,28.00,7.92
394,1,1,"Newell, Miss. Marjorie",female,23.00,113.28
395,1,3,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",female,24.00,16.70
396,0,3,"Johansson, Mr. Erik",male,22.00,7.80
397,0,3,"Olsson, Miss. Elina",female,31.00,7.85
398,0,2,"McKane, Mr. Peter David",male,46.00,26.00
